event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nba_401810112,nba,Miami Heat,Golden State Warriors,Kaseya Center,Miami,FL,2025-11-20T00:30Z,25.7814,-80.187
nba_401810666,nba,Phoenix Suns,Orlando Magic,Mortgage Matchup Center,Phoenix,AZ,2026-02-21T22:00Z,33.4457,-112.0712
nfl_401772906,nfl,Philadelphia Eagles,Las Vegas Raiders,Lincoln Financial Field,Philadelphia,PA,2025-12-14T18:00Z,39.9008,-75.1675
nfl_401772719,nfl,Indianapolis Colts,Miami Dolphins,Lucas Oil Stadium,Indianapolis,IN,2025-09-07T17:00Z,39.7601,-86.1639
nba_401810186,nba,Milwaukee Bucks,Detroit Pistons,Fiserv Forum,Milwaukee,WI,2025-12-04T01:00Z,43.045,-87.9172
nba_401810272,nba,San Antonio Spurs,Oklahoma City Thunder,Frost Bank Center,San Antonio,TX,2025-12-24T01:30Z,29.4269,-98.4375
nba_401810058,nba,Dallas Mavericks,Milwaukee Bucks,American Airlines Center,Dallas,TX,2025-11-11T01:30Z,32.7905,-96.8104
nba_401810452,nba,Miami Heat,Oklahoma City Thunder,Kaseya Center,Miami,FL,2026-01-18T01:00Z,25.7814,-80.187
nba_401810576,nba,Dallas Mavericks,Boston Celtics,American Airlines Center,Dallas,TX,2026-02-04T01:00Z,32.7905,-96.8104
nba_401809978,nba,Washington Wizards,Philadelphia 76ers,Capital One Arena,Washington,DC,2025-10-28T23:00Z,38.8981,-77.0209
nba_401809779,nba,Denver Nuggets,Golden State Warriors,Ball Arena,Denver,CO,2025-11-08T03:00Z,39.7487,-105.0077
nba_401869194,nba,San Antonio Spurs,Portland Trail Blazers,Frost Bank Center,San Antonio,TX,2026-04-20T01:00Z,29.4269,-98.4375
nba_401869414,nba,Orlando Magic,Detroit Pistons,Kia Center,Orlando,FL,2026-04-25T17:00Z,28.5392,-81.3839
nba_401871329,nba,Los Angeles Lakers,Oklahoma City Thunder,crypto.com Arena,Los Angeles,CA,2026-05-12T02:30Z,34.043,-118.2673
nba_401809966,nba,Dallas Mavericks,Toronto Raptors,American Airlines Center,Dallas,TX,2025-10-26T23:30Z,32.7905,-96.8104
nba_401810704,nba,Philadelphia 76ers,Miami Heat,Xfinity Mobile Arena,Philadelphia,PA,2026-02-27T00:00Z,39.9012,-75.172
nba_401810593,nba,Dallas Mavericks,San Antonio Spurs,American Airlines Center,Dallas,TX,2026-02-06T01:30Z,32.7905,-96.8104
nba_401810619,nba,Orlando Magic,Milwaukee Bucks,Kia Center,Orlando,FL,2026-02-10T00:30Z,28.5392,-81.3839
nba_401810479,nba,New Orleans Pelicans,Detroit Pistons,Smoothie King Center,New Orleans,LA,2026-01-22T01:00Z,29.949,-90.0821
nba_401810634,nba,Brooklyn Nets,Indiana Pacers,Barclays Center,Brooklyn,NY,2026-02-12T00:30Z,40.6826,-73.9754
nba_401869408,nba,Boston Celtics,Philadelphia 76ers,TD Garden,Boston,MA,2026-04-28T23:00Z,42.3662,-71.0621
nfl_401772933,nfl,Dallas Cowboys,Minnesota Vikings,AT&T Stadium,Arlington,TX,2025-12-15T01:20Z,32.7473,-97.0945
nba_401809511,nba,Washington Wizards,Cleveland Cavaliers,Capital One Arena,Washington,DC,2025-11-08T00:00Z,38.8981,-77.0209
nba_401810183,nba,New York Knicks,Charlotte Hornets,Madison Square Garden,New York,NY,2025-12-04T00:30Z,40.7505,-73.9934
nba_401810585,nba,San Antonio Spurs,Oklahoma City Thunder,Frost Bank Center,San Antonio,TX,2026-02-05T02:30Z,29.4269,-98.4375
