listing_id,candidate_event_id,label,split,embedding_cosine_sim
L000007,nba_401810918,0,train,0.6232554
L000007,nba_401810955,0,train,0.5811511
L000007,nba_401810925,0,train,0.6180527
L000007,nba_401810939,0,train,0.6161094
L000007,nba_401810935,0,train,0.6410258
L000007,nba_401810913,0,train,0.64703405
L000007,nba_401810950,0,train,0.6089362
L000007,nba_401810905,0,train,0.51732653
L000007,nba_401810949,0,train,0.5963634
L000007,nba_401810936,0,train,0.5397948
L000008,nba_401812677,1,train,0.58552265
L000008,nba_401812689,0,train,0.5025494
L000008,nba_401812482,0,train,0.5141399
L000008,nfl_401772743,0,train,0.3616394
L000008,nfl_401772850,0,train,0.3966755
L000008,nfl_401772851,0,train,0.38282004
L000008,nfl_401772939,0,train,0.39194974
L000008,nba_401812686,0,train,0.4071058
L000008,nba_401812685,0,train,0.38321176
L000008,nba_401812678,0,train,0.41480565
L000008,nba_401812690,0,train,0.41014487
L000008,nba_401812679,0,train,0.46426764
L000008,nba_401812687,0,train,0.43479905
L000009,nba_401812677,1,train,0.87455523
L000009,nba_401811025,0,train,0.8792653
L000009,nba_401810608,0,train,0.83354634
L000009,nba_401809244,0,train,0.83925986
L000009,nba_401812710,0,train,0.83848965
L000009,nba_401810051,0,train,0.7913915
L000009,nba_401810654,0,train,0.8114153
L000009,nba_401812689,0,train,0.8110166
L000009,nba_401810425,0,train,0.8076689
L000009,nba_401809798,0,train,0.80747485
L000009,nba_401810737,0,train,0.8346455
L000009,nba_401812737,0,train,0.83381194
L000009,nba_401809982,0,train,0.8338815
L000009,nba_401810928,0,train,0.780387
L000009,nba_401810381,0,train,0.8252106
L000009,nba_401810915,0,train,0.7996894
L000009,nba_401809240,0,train,0.7846153
L000009,nba_401809237,0,train,0.7787448
L000009,nba_401810997,0,train,0.8044777
L000009,nba_401810675,0,train,0.77818036
L000010,nba_401812677,1,train,0.46182764
L000010,nba_401810608,0,train,0.5062869
L000010,nba_401809244,0,train,0.49820757
L000010,nba_401811025,0,train,0.48499894
L000010,nba_401812710,0,train,0.49165213
L000010,nba_401809240,0,train,0.42793193
L000010,nba_401810899,0,train,0.42763752
L000010,nba_401810485,0,train,0.42210853
L000010,nba_401812724,0,train,0.49399444
L000010,nba_401810503,0,train,0.4653315
L000010,nba_401810646,0,train,0.5032784
L000010,nba_401809820,0,train,0.4969225
L000010,nba_401810995,0,train,0.4687582
L000010,nba_401810737,0,train,0.45227265
L000010,nba_401866756,0,train,0.44235522
L000010,nba_401812737,0,train,0.43979272
L000010,nba_401809982,0,train,0.43583602
L000010,nba_401810363,0,train,0.44340488
L000010,nba_401810664,0,train,0.48716795
L000010,nba_401810488,0,train,0.46246195
L000011,nba_401812677,1,train,0.45863095
L000011,nba_401811025,0,train,0.4608122
L000011,nba_401809240,0,train,0.39059198
L000011,nba_401810737,0,train,0.43252617
L000011,nba_401812737,0,train,0.43114343
L000011,nba_401809982,0,train,0.42791817
L000011,nba_401810608,0,train,0.36889768
L000011,nba_401809244,0,train,0.3684435
L000011,nba_401812710,0,train,0.3777538
L000011,nba_401810928,0,train,0.41340935
L000011,nba_401810381,0,train,0.42062283
L000011,nba_401810915,0,train,0.4156327
L000011,nba_401809237,0,train,0.39350688
L000011,nba_401810997,0,train,0.4116788
L000011,nba_401810675,0,train,0.39662406
L000011,nba_401810146,0,train,0.40503073
L000011,nba_401836796,0,train,0.4041097
L000011,nba_401810821,0,train,0.4079731
L000011,nba_401810411,0,train,0.41718775
L000011,nba_401809976,0,train,0.4249994
L000012,nba_401810416,1,val,0.41111663
L000012,nba_401810430,0,val,0.38549143
L000012,nba_401810438,0,val,0.38231698
L000012,nba_401810390,0,val,0.43624502
L000012,nba_401810401,0,val,0.38098562
L000012,nba_401810429,0,val,0.40167388
L000012,nba_401810417,0,val,0.40716708
L000012,nba_401810424,0,val,0.40371233
L000012,nba_401810441,0,val,0.4214152
L000012,nba_401810403,0,val,0.41068578
L000012,nba_401810395,0,val,0.47530884
L000012,nba_401810406,0,val,0.47204667
L000012,nba_401810439,0,val,0.37668654
L000012,nba_401810440,0,val,0.46347475
L000012,nba_401810428,0,val,0.39270824
L000012,nba_401810411,0,val,0.37729353
L000012,nba_401810419,0,val,0.41768724
L000012,nba_401810388,0,val,0.39743164
L000012,nba_401810408,0,val,0.4578439
L000012,nba_401810394,0,val,0.35640556
L000013,nba_401810416,1,val,0.86218864
L000013,nba_401810430,0,val,0.7850249
L000013,nba_401810438,0,val,0.7690081
L000013,nba_401810390,0,val,0.69450533
L000013,nba_401810429,0,val,0.68845737
L000013,nba_401810401,0,val,0.6606241
L000013,nba_401810403,0,val,0.62318885
L000013,nba_401810395,0,val,0.6638185
L000013,nba_401810406,0,val,0.6758115
L000013,nba_401810439,0,val,0.56927377
L000013,nba_401810440,0,val,0.6736982
L000013,nba_401810428,0,val,0.5979229
L000013,nba_401810411,0,val,0.5689838
L000013,nba_401810419,0,val,0.59143174
L000013,nba_401810388,0,val,0.5872095
L000013,nba_401810408,0,val,0.5900716
L000013,nba_401810394,0,val,0.52921665
L000013,nba_401810425,0,val,0.5680884
L000013,nba_401810423,0,val,0.58807135
L000013,nba_401810435,0,val,0.5815912
L000014,nba_401810416,1,val,0.8507925
L000014,nba_401810430,0,val,0.7307968
L000014,nba_401810438,0,val,0.74595773
L000014,nba_401810390,0,val,0.8194634
L000014,nba_401810401,0,val,0.74478835
L000014,nba_401810429,0,val,0.7218263
L000014,nba_401810403,0,val,0.6070819
L000014,nba_401810395,0,val,0.66308653
L000014,nba_401810406,0,val,0.70203936
L000014,nba_401810439,0,val,0.6785855
L000014,nba_401810440,0,val,0.7151745
L000014,nba_401810428,0,val,0.6975534
L000014,nba_401810411,0,val,0.67915595
L000014,nba_401810419,0,val,0.6842742
L000014,nba_401810388,0,val,0.62672675
L000014,nba_401810408,0,val,0.60151064
L000014,nba_401810394,0,val,0.62720454
L000014,nba_401810425,0,val,0.6524066
L000014,nba_401810423,0,val,0.6266669
L000014,nba_401810435,0,val,0.703601
L000015,nba_401810416,1,val,0.33330232
L000015,nba_401836795,0,val,0.33636856
L000015,nba_401810820,0,val,0.32860276
L000015,nba_401810950,0,val,0.3107521
L000015,nba_401810884,0,val,0.2941066
L000015,nba_401812703,0,val,0.31912327
L000015,nba_401811048,0,val,0.3145669
